∆G,FR-coop,FRc err,FR-non-coop,FRnc err,Kd,Kd err
-11.94,7.6756,0.80606,2.5621,0.35085,1.74674360020256,0.34934872004051204
-11.91,6.0906,0.64157,2.2053,0.23799,1.8375264961114548,0.4042558291445201
-11.96,6.8016,0.74,2.0981,0.2878,1.688727313979197,0.40529455535500725
-11.97,8.0549,0.9301299999999999,2.4812,0.22684,1.6604458282943504,0.3320891656588701
-11.56,3.0201,0.39934000000000003,1.4112,0.18635,3.318579192063715,0.7964590060952915
-11.73,4.68,0.54884,1.6153,0.21106,2.490349529453294,0.9712363164867847
-10.96,1.5722,0.17645999999999998,1.2336,0.17113,9.141999067913197,1.9198198042617713
-11.93,6.8223,0.78,2.0067,0.21636,1.776494949678966,0.5507134344004795
-11.59,3.5647,0.35941999999999996,1.4646,0.1517,3.154624968820628,1.1987574881518386
-11.82,4.5793,0.44409,1.6164,0.17709,2.139178170454518,0.7273205779545361
-11.72,3.498,0.34764,1.4465,0.1913,2.5327663209964695,0.7091745698790115
-11.7,3.0179,0.37143000000000004,1.4972,0.18450999999999998,2.6197795969703144,0.7597360831213911
-11.78,4.3149,0.49118,1.5419,0.24595,2.288686057394379,0.7094926777922574
-10.96,1.7552,0.15669,1.0199,0.11800999999999999,9.141999067913197,2.1026597856200353
-11.62,3.7396,0.35238,1.4025,0.18323,2.998770894997981,1.0495698132492932
-11.03,1.4302,0.15028,1.1221,0.12971,8.122644714154356,2.355566967104763
-11.74,4.7256,0.52793,1.6566,0.18084,2.4486431011954726,0.6121607752988681
-11.98,6.8284,0.61047,2.157,0.29135,1.6326379788359815,0.45713863407407485
-11.7,5.2763,0.64669,1.8759,0.21341999999999997,2.6197795969703144,0.8645272670002038
-11.89,5.7448,0.57994,1.8133,0.23179,1.9006547834666323,0.5701964350399896
-11.93,6.9297,0.7457699999999999,2.1667,0.24593,1.776494949678966,0.621773232387638
-11.82,5.3579,0.63684,1.7834,0.22783,2.139178170454518,0.7273205779545361
-11.91,6.6829,0.61023,2.0471,0.31395,1.8375264961114548,0.6063837437167802
-11.7,4.2696,0.50315,1.3714,0.1697,2.6197795969703144,0.5239559193940629
-11.94,6.7571,0.68161,2.0569,0.21868,1.74674360020256,0.34934872004051204
-11.34,1.0072,0.12485,0.95688,0.10407000000000001,4.81191722141932,0.9623834442838641
-11.37,1.1412,0.11650999999999999,0.9721299999999999,0.11005999999999999,4.574184714618051,0.9605787900697906
-10.59,1.0674,0.15525,1.0247,0.15354,17.077700044193904,4.781756012374293
-10.82,1.1287,0.13333,1.0353,0.11033,11.580534452489097,3.705771024796511
-11.64,2.5319,0.26666999999999996,1.3924,0.12586,2.8991698141396705,1.0437011330902812
-11.96,7.0366,0.74579,2.4444,0.23169,1.688727313979197,0.6586036524518868
