Spacing,Cognate,C_err,Non-cognate,NC_err,Control,Cont_err
7,1151.702358,80.0233737,2065.321049,106.1001458,12516.03428,871.8182002
8,839.3069369,42.97442567,1293.529269,95.72067518,7082.928871,795.5320451
9,1207.646926,57.65437429,1785.699759,136.0111529,16078.60884,1351.364813
10,684.5308007,47.19286791,828.2145637,89.8181589,4097.309176,429.4165028
11,615.0709718,49.40809775,747.4382726,100.3780545,2145.02738,344.0139271
12,684.5296141,51.33465055,848.3470434,90.45353603,3409.879441,310.6372902
13,1116.563631,62.72875129,1088.850562,123.6392133,4736.284803,701.6311747
14,1197.056592,93.50093789,1283.969267,134.379827,4956.665955,514.4413172
15,781.1694023,47.6704993,996.0700838,170.0084171,3628.057597,551.9457692
16,894.6836764,92.10510033,1198.902917,107.626796,5595.112194,679.4004631
18,798.7820631,71.27356497,1270.007747,112.585647,4590.715578,612.9582286
20,791.0808043,48.04256568,1250.702706,120.5450638,4093.275656,336.6906997
22,1409.507396,53.10091606,1475.480063,216.4441499,4362.745711,625.5633944
24,1722.965836,64.73056288,1556.265461,115.5646715,4960.64231,734.368307
30,2318.324462,159.5864726,2282.034946,162.0592722,7869.892345,1094.827024
