Initial Rate,Final Level
25464.09023,68022.18367
24454.03759,60008.97959
22146.49624,54728.63265
5194.62406,15056.57143
5992.285714,18428.38776
7611.203008,22531.30612
30679.44361,74909.65306
36629.81955,87589.42857
31146.24812,80489.30612
27076.01504,67912.61224
27542.57143,70262.06122
32281.21805,76221.81633
31462.82707,76196.40816
39528.54135,90270.7551
34610.88722,79838.59184
24386.88722,57186.18367
25421.54887,58458.85714
28601.72932,65334.61224
31451.03008,70549.91837
23696.68421,57024.69388
31369.12782,72312.89796
3974.120301,10721.10204
3660.293233,9634.408163
4216.443609,10828.34694
24835.03759,56666.42857
24114.58647,55570.20408
26437.42105,59337.7551
24028.44361,51968.73469
29795.66165,71529.81633
26436.85714,61958.16327
33940.93985,74466.61224
33608.72932,71282.7551
33341.39098,74170.7551
40658.39098,91966.10204
43249.89474,93997.26531
43492.73684,98472.08163
36306.58647,81307.32653
35330.16541,82131.53061
30822.94737,72528.4898
40362.94737,92143.61224
38003.30075,84869.85714
38702.18797,86292.32653
38507.93233,89428.12245
32074.71429,73727.02041
33021.85714,76622.36735
36216.69925,81561.97959
36535.42105,81867.36735
41373.02256,94077.14286
38002.64662,90603.04082
33946.10526,80748.83673
36022.37594,83351.08163
10428.3609,27574.89796
9127.917293,25169.02041
9526.353383,26768.87755
9632.909774,23728.83673
29058.29323,72550.18367
30356.77444,74973.93878
28609.80451,67529.71429
27898.35338,66231.14286
18486.02256,42740.83673
23251.78195,57233.59184
24500.70677,60754.97959
34979.61654,82454.08163
2702.075188,9208.877551
2957.977444,10343.59184
2916.676692,10032.79592
22031.59399,52949.44898
18848.36842,46808.4898
20890.46617,49819.44898
18113.4812,45817.10204
23346.96992,55896.02041
32665.08271,78956.95918
28745.84211,69812.16327
32525.97744,73969.93878
30171.09023,68117.44898
31666.98496,73676.44898
27803.00752,63438.91837
23333.30075,55323.77551
17862.49624,41647.71429
17536.62406,41960.91837
15127.30827,34725.40816
7837.601504,19559.08163
7121.548872,17411.44898
7838.616541,19507.34694
8170.827068,17985.79592
7932.992481,16912.26531
8401.601504,18129.79592
6671.909774,18355.40816
10182.09023,26008.93878
9424.330827,23835.20408
9819.270677,22863.7551
8478.721805,19487.69388
9145.62406,21598.79592
8125.827068,20419.57143
9493.511278,22696.30612
13024.44361,30059.06122
11279.36842,26109.42857
8424.451128,20209
10350.09023,24523.40816
12514.08271,29060.83673
8485.218045,21250.65306
10432.21805,24028.10204
24320.84211,59071.97959
13230.90226,32382
17212.78195,42183.22449
10708.91729,25694.57143
13012.51128,31564.16327
9724.06015,23098.32653
9090.112782,23637.08163
13201.21805,32640.2449
9113.368421,23532.40816
9914.684211,22938.40816
9671.909774,21430.46939
9326.278195,21093.85714
13685.39098,36202.79592
10847.90977,28955.10204
10082.50376,27757.22449
9468.338346,22862.10204
9484.330827,23156.71429
6958.443609,17606.63265
7671.969925,20491.67347
9930.699248,25030.59184
11455.15038,27874.34694
9832.443609,23683.81633
9471.969925,22126.91837
8712.112782,21414.36735
8682.045113,20128.81633
8572.962406,20241.12245
8158.669173,20273.40816
7257.766917,19905.02041
9568.466165,25165.14286
8431.646617,22299.85714
8937.338346,21707.7551
8964.045113,20653.69388
8822.684211,21663.2449
18004.84962,47624.38776
20056.53383,50736.7551
18266.70677,50838.44898
12248.23308,34192.30612
16093.21805,43442.32653
16728.81203,44297.77551
35849.59399,89540.10204
29531.70677,74532.83673
27577.33083,70542.65306
25123.57895,63426.14286
25254.22556,64655.2449
20209.6015,53460.46939
25193.39098,65283.65306
35813.41353,87225
28388.18797,71722.59184
19089.8797,46918.95918
20204.1203,50238.12245
21108.33835,52039.40816
28528.55639,70054.83673
25818.96992,65746.42857
25795.46617,63414.5102
2675.345865,7662.469388
2835.744361,8353.918367
2641.962406,7699.204082
22063.37594,54271.79592
24869.00752,60875.14286
23622.38346,58146.95918
14188.91729,36994.53061
15362.95489,40311.53061
12378.60902,34999.08163
15847.82707,38251.42857
15409.73684,37391.79592
16140.54135,37455.73469
18433.30827,51437.65306
23059.03759,59620.61224
19954.03759,54990.89796
17160.27068,46173.04082
18175.28571,48507.44898
17794.37594,45434.85714
22192.08271,55741.97959
21528.47368,57543.5102
13079.45865,35339.59184
3671.887218,9962.367347
3011.842105,8855.857143
2630.977444,7594.122449
19851,51386.85714
22460.14286,56816.12245
19241.23308,49891.73469
11423.54887,30097.4898
8254.646617,24594.18367
10647.02256,29494.83673
18886.73684,47235.53061
16404.7218,41615.65306
15028.03759,37955.28571
9853.015038,24932.22449
5946.067669,16039.34694
6549.473684,18201.69388
7072.87218,16330.61224
7155.157895,16870.2449
5679.090226,13887.77551
1942.578947,6952.306122
1930.263158,7553.612245
1336.556391,5151.44898
23753.32331,59895.08163
10762.71429,27451.32653
12524.07519,31736.57143
7568.864662,19920.55102
2713.827068,7818.265306
10256.30075,26313.77551
4693.759399,12428.69388
10430.75188,26227.44898
7312.172932,17745.73469
7254.451128,18357.06122
8660.503759,22033.14286
10503.38346,25936.57143
9094.218045,22265.04082
7822.646617,19159.61224
9562.759399,23584.38776
6793.037594,17192.89796
9837.135338,24189.10204
7910.639098,19811.06122
19838.41353,46171.14286
19436.32331,48525.44898
16500.94737,38848.87755
20117.79699,44352.79592
23407.64662,52954.26531
17922.09023,42110.77551
28651.93985,63102.18367
25934.1203,64671.26531
25759.64662,66858.08163
22757.77444,54673.40816
24004.03759,58303.95918
21308.25564,52423.06122
25314.78947,61815.91837
20844.13534,51873.87755
23195.34586,54316.12245
16471.51128,43152.36735
21828.49624,53417.87755
23387.54887,56461.4898
24478.37594,58945.85714
26446.64662,68487.95918
20677.15038,50897.40816
13169.4812,34461.02041
20436.31579,51868.18367
21249.20301,53817.28571
19082.97744,45280.10204
19161.29323,47085.65306
20459.86466,49082.61224
