,Background,Backgroundstd,CBD,CBDstd,ZF,ZFstd,CBD-bkg,CBD-bkgstd,ZF-bkg,ZF-bkgstd,FR,FRstd
AAA,1005.980716,10.22566326,9471.540102,894.057496,3152.540862,130.2556153,8465.559386,894.1159714,2146.560146,130.6563795,3.94377926,0.480754023
ACA,1023.064314,7.836923127,9622.921047,982.7613653,5516.092068,296.6927481,8599.856733,982.7926121,4493.027754,296.7962334,1.914044872,0.252650157
ADB,974.8087286,8.708389877,7401.503354,784.460579,2690.752809,229.4458332,6426.694625,784.5089139,1715.94408,229.6110329,3.745282086,0.678365349
ADD,996.9374288,12.15256005,9120.409731,952.4089942,2516.691696,173.5879376,8123.472302,952.4865232,1519.754267,174.0128064,5.34525382,0.876005823
BAB,972.1103342,21.27672739,8386.097648,844.006873,1998.384361,88.97748194,7413.987314,844.2750149,1026.274027,91.48601762,7.22417904,1.044746252
BBB,1057.555387,17.88003914,9543.953128,945.8606315,4270.488974,420.2466982,8486.397741,946.0296137,3212.933587,420.626893,2.641323735,0.454170206
BCB,937.2727293,9.081765235,5563.340718,549.1698515,2042.324489,171.4749964,4626.067989,549.2449401,1105.05176,171.715325,4.186290776,0.818661494
BCC,1002.722571,3.865582674,7704.151145,867.0022211,4900.416018,503.6389908,6701.428574,867.0108385,3897.693447,503.6538253,1.719331873,0.31438779
BCD,1050.793797,14.51205593,9931.965987,967.77731,3998.023867,338.6443192,8881.17219,967.8861098,2947.23007,338.9551219,3.013396301,0.477448647
BDC,1004.896072,5.979567338,8824.252713,872.317497,3634.497275,455.1576632,7819.356641,872.3379911,2629.601203,455.1969394,2.973590304,0.612380965
BDD,996.2271139,10.88496865,7670.541222,790.6838401,3146.618281,137.1458665,6674.314108,790.7587606,2150.391167,137.5771465,3.103767449,0.417917006
