,KD,err+,err-,MITOMI,err
10BCB,5.57E+00,7.86E-01,5.88E-01,4.404724698,0.562614211
9BCB,2.58E+00,1.29E-01,1.11E-01,4.385785167,0.570152072
8BCB,1.75E+00,1.56E-01,1.48E-01,5.399819822,0.631976577
7BCB,6.67E-01,2.87E-02,2.85E-02,4.097145754,0.542628948
6BCB,4.11E+00,7.58E-01,5.87E-01,5.117432675,0.635266248
5BCB,5.68E-01,1.65E-02,1.54E-02,4.590753389,0.576797941
4BCB,1.92E+01,4.02E+00,2.83E+00,3.834713658,0.458512776
3BCB,1.97,9.18E-02,8.49E-02,5.588901185,0.626557154
2BCB,2.4,7.56E-02,6.75E-02,4.260858467,0.523911601
1BCB,2.49E-01,1.25E-02,1.02E-02,4.672795642,0.507463433
0BCB,6.40E-01,2.30E-02,2.06E-02,4.223837058,0.549098818
BCB1,4.66E-01,2.95E-02,2.71E-02,4.16791978,0.541829571
BCB2,2.40E-01,8.51E-03,8.58E-03,3.847885101,0.490225063
BCB3,1.77E-01,5.57E-03,6.00E-03,3.940337671,0.482243897
BCB4,2.29E-01,1.31E-02,1.13E-02,4.194132344,0.535237205
BCB5,3.66E+03,4.10E+03,2.45E+03,4.270886565,0.555215253
BCB6,2.50E-01,1.42E-02,1.30E-02,3.742366069,0.496507589
BCB7,2.33E+00,2.06E-01,1.71E-01,4.293526382,0.54815843
