,Background,Backgroundstd,CBD,CBDstd,ZF,ZFstd,CBD-bkg,CBD-bkgstd,ZF-bkg,ZF-bkgstd,FR,FRstd
0BCB,358.52930641666666,39.49178686834334,3568.5716740000003,351.37131610000006,1762.1792269999999,151.15558969999998,3210.0423675833335,353.58365772176296,1403.6499205833331,156.22936192537367,2.286925194459666,0.35811405534416496
1BCB,368.94752098333333,49.390386862122945,3919.522797,221.10926099999998,1544.717231,160.70004330000003,3550.575276016667,226.55841545693303,1175.7697100166667,168.1187503849944,3.0197880127107006,0.4728317943968614
2BCB,386.94411105,17.495929567832423,3821.4433590000003,242.4444455,2805.5657699999997,65.81819787,3434.49924795,243.07491994289543,2418.6216589499995,68.10391121144971,1.420023357204626,0.10816355584560834
3BCB,301.95039390000005,20.144669188353188,3098.927096,246.86308430000003,2181.931545,77.61891935,2796.9767021,247.68364921168515,1879.9811510999998,80.19042547442925,1.4877684813294296,0.1462353307214029
4BCB,389.9433359833333,14.238957552712481,4008.27425,154.984003,3726.859583,128.8338529,3618.3309140166666,155.6367215604722,3336.9162470166666,129.61832264478193,1.0843337519338687,0.06284450101562619
5BCB,276.14525423333333,27.687180288084537,3536.3524420000003,174.798692,1916.0845809999998,60.71450205,3260.207187766667,176.97785928532346,1639.9393267666665,66.72953402717833,1.988004760026427,0.1348693031952042
6BCB,543.4277577,31.06575962493981,6184.293275999999,277.13858910000005,4969.520329999999,508.07563030000006,5640.865518299999,278.87430679324547,4426.092572299999,509.0244861750925,1.274457193598359,0.1595382991246742
7BCB,419.97957438333333,53.45361358280549,4261.320701,283.1846731,2666.921342,252.7395548,3841.3411266166663,288.1854400968476,2246.9417676166668,258.330353163468,1.7095864174046578,0.23469551682245246
8BCB,479.71938905,34.801268387133014,5335.756041,215.00637630000003,4076.024242,416.62147039999996,4856.036651949999,217.8046604896472,3596.30485295,418.07245529885284,1.3502850427061706,0.16824966810158373
9BCB,442.3762364666666,20.895781514971294,4702.241756,375.7003309,3725.09949,131.9630821,4259.865519533334,376.2809752345857,3282.7232535333333,133.6072180776651,1.2976620904452612,0.12620710118109713
10BCB,363.39841989999996,27.679793786723874,3664.158335,176.076768,3271.116261,175.1170198,3300.7599151,178.2391629620196,2907.7178411,177.29112106281337,1.1351720130627636,0.0924562368484596
